species,tag,predicted,freq_mhz,unc_mhz,log_intensity,qn
13C_a,54506,False,27694.2943,0.0002,-5.4575,3 0 3 4     2 0 2 3
13C_a,54506,False,27695.9412,0.0004,-6.5209,3 0 3 2     2 0 2 2
13C_a,54506,False,27708.3664,0.0003,-6.788,3 2 2 2     2 2 1 2
13C_a,54506,False,27708.3708,0.0003,-5.885,3 2 2 3     2 2 1 2
13C_a,54506,False,27709.5759,0.0003,-6.7881,3 2 2 3     2 2 1 3
13C_a,54506,False,27709.5817,0.0003,-5.7247,3 2 2 4     2 2 1 3
13C_a,54506,False,27710.2532,0.0003,-6.0557,3 2 2 2     2 2 1 1
13C_a,54506,False,27721.3494,0.0003,-6.7876,3 2 1 2     2 2 0 2
13C_a,54506,False,27721.3561,0.0003,-5.8846,3 2 1 3     2 2 0 2
13C_a,54506,False,27722.5618,0.0003,-6.7877,3 2 1 3     2 2 0 3
13C_a,54506,False,27722.5659,0.0003,-5.7243,3 2 1 4     2 2 0 3
13C_a,54506,False,27723.2372,0.0003,-6.0552,3 2 1 2     2 2 0 1
v0_main,53515,False,27766.4338,0.0003,-6.8204,3 1 3 3     2 1 2 3
v0_main,53515,False,27767.1141,0.0001,-5.9173,3 1 3 3     2 1 2 2
v0_main,53515,False,27767.4342,0.0002,-6.088,3 1 3 2     2 1 2 1
v0_main,53515,False,27767.4562,0.0002,-5.757,3 1 3 4     2 1 2 3
v0_main,53515,False,27767.8027,0.0006,-8.3643,3 1 3 2     2 1 2 3
v0_main,53515,False,27768.483,0.0004,-6.8204,3 1 3 2     2 1 2 2
15N,54509,False,27775.4715,0.3762,-6.339,15 114      14 213
v0_main,53515,False,28155.1148,0.001,-9.2772,9 2 8 9    10 1 9 9
v0_main,53515,False,28156.4069,0.0008,-7.2377,9 2 810    10 1 911
v0_main,53515,False,28156.4107,0.0008,-7.3255,9 2 8 8    10 1 9 9
v0_main,53515,False,28156.483,0.0005,-7.2815,9 2 8 9    10 1 910
v0_main,53515,False,28157.6695,0.0007,-9.2771,9 2 810    10 1 910
15N,54509,True,28267.31,0.05,-5.1254,3 1 2       2 1 1
13C_b,54507,False,28286.953,0.0003,-6.4958,3 0 3 3     2 0 2 3
13C_b,54507,False,28287.989,0.0002,-5.7634,3 0 3 2     2 0 2 1
13C_b,54507,False,28288.1789,0.0002,-5.5927,3 0 3 3     2 0 2 2
13C_b,54507,False,28288.2263,0.0002,-5.4324,3 0 3 4     2 0 2 3
13C_b,54507,False,28289.8886,0.0003,-6.4957,3 0 3 2     2 0 2 2
13C_b,54507,False,28303.825,0.0003,-6.7627,3 2 2 2     2 2 1 2
13C_b,54507,False,28303.8293,0.0003,-5.8596,3 2 2 3     2 2 1 2
13C_b,54507,False,28305.0458,0.0002,-6.7627,3 2 2 3     2 2 1 3
13C_b,54507,False,28305.0516,0.0002,-5.6993,3 2 2 4     2 2 1 3
13C_b,54507,False,28305.7294,0.0003,-6.0303,3 2 2 2     2 2 1 1
13C_c,54508,False,28313.9043,0.0003,-6.4893,3 0 3 3     2 0 2 3
13C_c,54508,False,28314.9358,0.0002,-5.7569,3 0 3 2     2 0 2 1
13C_c,54508,False,28315.125,0.0002,-5.5862,3 0 3 3     2 0 2 2
13C_c,54508,False,28315.1722,0.0002,-5.4259,3 0 3 4     2 0 2 3
13C_c,54508,False,28316.8276,0.0003,-6.4893,3 0 3 2     2 0 2 2
13C_b,54507,False,28318.4968,0.0003,-6.7623,3 2 1 2     2 2 0 2
13C_b,54507,False,28318.5034,0.0003,-5.8592,3 2 1 3     2 2 0 2
13C_b,54507,False,28319.7205,0.0002,-6.7623,3 2 1 3     2 2 0 3
13C_b,54507,False,28319.7246,0.0002,-5.6989,3 2 1 4     2 2 0 3
13C_b,54507,False,28320.4022,0.0003,-6.0299,3 2 1 2     2 2 0 1
13C_c,54508,False,28329.9289,0.0003,-6.7566,3 2 2 2     2 2 1 2
13C_c,54508,False,28329.9333,0.0003,-5.8535,3 2 2 3     2 2 1 2
13C_c,54508,False,28331.1446,0.0002,-6.7566,3 2 2 3     2 2 1 3
13C_c,54508,False,28331.1505,0.0002,-5.6932,3 2 2 4     2 2 1 3
13C_c,54508,False,28331.8254,0.0002,-6.0242,3 2 2 2     2 2 1 1
13C_c,54508,False,28343.6214,0.0003,-6.7562,3 2 1 2     2 2 0 2
13C_c,54508,False,28343.6279,0.0003,-5.8531,3 2 1 3     2 2 0 2
13C_c,54508,False,28344.8399,0.0002,-6.7562,3 2 1 3     2 2 0 3
13C_c,54508,False,28344.8441,0.0002,-5.6928,3 2 1 4     2 2 0 3
13C_c,54508,False,28345.5188,0.0002,-6.0238,3 2 1 2     2 2 0 1
13C_a,54506,False,28363.907,0.0013,-6.5544,3 1 2 3     2 1 1 3
13C_a,54506,False,28364.4422,0.0004,-5.6513,3 1 2 3     2 1 1 2
13C_a,54506,False,28364.7767,0.0004,-5.491,3 1 2 4     2 1 1 3
13C_a,54506,False,28364.7825,0.0004,-5.822,3 1 2 2     2 1 1 1
13C_a,54506,False,28365.6078,0.002,-6.5544,3 1 2 2     2 1 1 2
v0_main,53515,False,28439.7573,0.0003,-6.7454,3 0 3 3     2 0 2 3
v0_main,53515,False,28440.7898,0.0001,-6.013,3 0 3 2     2 0 2 1
v0_main,53515,False,28440.9791,0.0001,-5.8423,3 0 3 3     2 0 2 2
v0_main,53515,False,28441.0264,0.0002,-5.682,3 0 3 4     2 0 2 3
v0_main,53515,False,28441.4613,0.0004,-8.2893,3 0 3 2     2 0 2 3
v0_main,53515,False,28442.6831,0.0003,-6.7454,3 0 3 2     2 0 2 2
v0_main,53515,False,28455.9784,0.0003,-7.0127,3 2 2 2     2 2 1 2
v0_main,53515,False,28455.9828,0.0002,-6.1096,3 2 2 3     2 2 1 2
v0_main,53515,False,28457.1908,0.0008,-8.5564,3 2 2 2     2 2 1 3
v0_main,53515,False,28457.1951,0.0005,-7.0127,3 2 2 3     2 2 1 3
v0_main,53515,False,28457.201,0.0002,-5.9493,3 2 2 4     2 2 1 3
v0_main,53515,False,28457.8766,0.0002,-6.2803,3 2 2 2     2 2 1 1
v0_main,53515,False,28469.8782,0.0003,-7.0122,3 2 1 2     2 2 0 2
v0_main,53515,False,28469.8847,0.0002,-6.1092,3 2 1 3     2 2 0 2
v0_main,53515,False,28471.0912,0.0009,-8.556,3 2 1 2     2 2 0 3
v0_main,53515,False,28471.0978,0.0005,-7.0123,3 2 1 3     2 2 0 3
v0_main,53515,False,28471.102,0.0002,-5.9489,3 2 1 4     2 2 0 3
v0_main,53515,False,28471.7773,0.0002,-6.2799,3 2 1 2     2 2 0 1
15N,54509,False,28496.5005,0.0192,-6.3399,11 110      11 111
15N,54509,False,28838.0828,0.0404,-6.2004,22 220      22 221
13C_b,54507,False,28995.5979,0.0013,-6.5286,3 1 2 3     2 1 1 3
13C_b,54507,False,28996.1446,0.0004,-5.6254,3 1 2 3     2 1 1 2
13C_b,54507,False,28996.4825,0.0004,-5.4652,3 1 2 4     2 1 1 3
13C_b,54507,False,28996.4871,0.0004,-5.7961,3 1 2 2     2 1 1 1
13C_b,54507,False,28997.3301,0.002,-6.5285,3 1 2 2     2 1 1 2
13C_c,54508,False,29006.9245,0.0005,-6.5227,3 1 2 3     2 1 1 3
13C_c,54508,False,29007.4692,0.0004,-5.6196,3 1 2 3     2 1 1 2
13C_c,54508,False,29007.8057,0.0004,-5.4593,3 1 2 4     2 1 1 3
13C_c,54508,False,29007.8102,0.0004,-5.7903,3 1 2 2     2 1 1 1
13C_c,54508,False,29008.6503,0.001,-6.5226,3 1 2 2     2 1 1 2
v0_main,53515,False,29138.3129,0.0004,-6.7787,3 1 2 3     2 1 1 3
v0_main,53515,False,29138.8581,0.0001,-5.8756,3 1 2 3     2 1 1 2
v0_main,53515,False,29139.1949,0.0002,-5.7153,3 1 2 4     2 1 1 3
v0_main,53515,False,29139.1995,0.0001,-6.0463,3 1 2 2     2 1 1 1
v0_main,53515,False,29139.4951,0.0006,-8.3225,3 1 2 2     2 1 1 3
v0_main,53515,False,29140.0404,0.0004,-6.7786,3 1 2 2     2 1 1 2
15N,54509,False,29340.4308,0.3812,-6.5718,14 212      15 115
15N,54509,False,29402.7511,0.8482,-6.5709,48 444      48 445
v0_main,53515,False,30114.198,0.0015,-9.1405,11 11011    11 11110
v0_main,53515,False,30114.2974,0.0015,-9.1403,11 11011    11 11112
v0_main,53515,False,30115.5666,0.0019,-7.0613,11 11010    11 11110
v0_main,53515,False,30115.5728,0.0018,-6.985,11 11012    11 11112
v0_main,53515,False,30115.7261,0.0009,-7.0248,11 11011    11 11111
v0_main,53515,False,30117.0015,0.0013,-9.1403,11 11012    11 11111
v0_main,53515,False,30117.0948,0.0013,-9.1404,11 11010    11 11111
15N,54509,False,30202.4462,5.1879,-6.3534,30 426      31 329
15N,54509,False,31138.2069,0.2313,-6.2561,35 332      35 333
15N,54509,False,31342.8071,22.1746,-6.6298,48 643      49 544
15N,54509,False,31418.8708,11.6337,-6.4313,39 534      40 437
15N,54509,False,31420.7526,0.3814,-6.4579,9 2 8      10 1 9
v0_main,53515,False,31893.3252,0.0019,-7.2068,13 21114    14 11415
v0_main,53515,False,31893.3276,0.0019,-7.2692,13 21112    14 11413
v0_main,53515,False,31893.5132,0.001,-7.238,13 21113    14 11414
15N,54509,False,32281.4737,11.4483,-6.543,47 444      46 541
15N,54509,False,32593.6945,1.7143,-6.2864,21 318      22 221
15N,54509,False,32679.0206,5.0091,-6.3997,39 337      38 434
v0_main,53515,False,33124.2454,0.0011,-9.2612,15 11415    14 21315
v0_main,53515,False,33125.5535,0.0012,-6.9401,15 11414    14 21313
v0_main,53515,False,33125.5573,0.0012,-6.8819,15 11416    14 21315
v0_main,53515,False,33125.5646,0.0007,-6.911,15 11415    14 21314
v0_main,53515,False,33126.933,0.0014,-9.2612,15 11414    14 21314
15N,54509,False,33623.741,0.0435,-6.1067,23 221      23 222
15N,54509,False,33654.2891,0.0223,-6.2383,12 111      12 112
15N,54509,False,33772.1814,0.9757,-6.4978,49 445      49 446
15N,54509,False,33785.376,0.3819,-6.4478,13 211      14 114
15N,54509,False,33846.7503,11.8475,-6.3499,38 534      39 435
15N,54509,False,34084.8128,0.148,-6.0765,8 0 8       7 1 7
15N,54509,False,34694.3682,12.1347,-6.4266,45 441      44 540
15N,54509,False,35064.29,21.9143,-6.5331,48 642      49 545
v0_main,53515,False,35562.512,0.0016,-9.1114,12 11112    12 11211
v0_main,53515,False,35562.5989,0.0017,-9.1113,12 11112    12 11213
v0_main,53515,False,35563.8807,0.002,-6.956,12 11111    12 11211
v0_main,53515,False,35563.8852,0.002,-6.886,12 11113    12 11213
v0_main,53515,False,35564.039,0.001,-6.9224,12 11112    12 11212
v0_main,53515,False,35565.3252,0.0014,-9.1112,12 11113    12 11212
v0_main,53515,False,35565.4076,0.0015,-9.1114,12 11111    12 11212
15N,54509,False,35775.5371,5.2995,-6.1879,28 425      29 326
15N,54509,False,35901.8472,0.2662,-6.1748,36 333      36 334
15N,54509,False,35955.6641,0.0008,-4.7704,4 1 4       3 1 3
13C_a,54506,False,36057.3027,0.0015,-6.4498,4 1 4 4     3 1 3 4
13C_a,54506,False,36058.326,0.0006,-5.2737,4 1 4 4     3 1 3 3
13C_a,54506,False,36058.4212,0.0006,-5.3918,4 1 4 3     3 1 3 2
13C_a,54506,False,36058.4791,0.0006,-5.1586,4 1 4 5     3 1 3 4
13C_a,54506,False,36059.7914,0.0018,-6.4498,4 1 4 3     3 1 3 3
15N,54509,False,36460.4592,1.7371,-6.1093,25 223      24 322
v0_main,53515,False,36533.7779,0.0008,-8.546,8 0 8 8     7 1 7 8
v0_main,53515,False,36535.124,0.0005,-6.802,8 0 8 7     7 1 7 6
v0_main,53515,False,36535.1295,0.0003,-6.7466,8 0 8 8     7 1 7 7
v0_main,53515,False,36535.1463,0.0005,-6.6915,8 0 8 9     7 1 7 8
v0_main,53515,False,36536.6497,0.0006,-8.546,8 0 8 7     7 1 7 7
15N,54509,False,36568.1949,5.4096,-6.2013,35 332      34 431
15N,54509,False,36795.1848,0.0005,-4.7194,4 0 4       3 0 3
13C_b,54507,False,36802.0581,0.0015,-6.4254,4 1 4 4     3 1 3 4
13C_b,54507,False,36803.0843,0.0006,-5.2493,4 1 4 4     3 1 3 3
13C_b,54507,False,36803.1808,0.0006,-5.3674,4 1 4 3     3 1 3 2
13C_b,54507,False,36803.2386,0.0006,-5.1341,4 1 4 5     3 1 3 4
v0_main,53515,False,36803.7126,0.0017,-7.0836,12 21013    13 11314
v0_main,53515,False,36803.7137,0.0017,-7.1508,12 21011    13 11312
v0_main,53515,False,36803.9079,0.0009,-7.1172,12 21012    13 11313
13C_b,54507,False,36804.5548,0.0018,-6.4253,4 1 4 3     3 1 3 3
15N,54509,False,36826.5555,0.0004,-4.8561,4 2 3       3 2 2
15N,54509,False,36838.4668,0.0004,-5.1055,4 3 2       3 3 1
15N,54509,False,36838.5509,0.0004,-5.1055,4 3 1       3 3 0
13C_c,54508,False,36856.9826,0.0006,-6.4186,4 1 4 4     3 1 3 4
15N,54509,False,36857.6893,0.0005,-4.8553,4 2 2       3 2 1
13C_c,54508,False,36858.0042,0.0005,-5.2424,4 1 4 4     3 1 3 3
13C_c,54508,False,36858.1002,0.0005,-5.3605,4 1 4 3     3 1 3 2
13C_c,54508,False,36858.1578,0.0005,-5.1273,4 1 4 5     3 1 3 4
13C_c,54508,False,36859.4681,0.0011,-6.4185,4 1 4 3     3 1 3 3
13C_a,54506,False,36909.0203,0.0004,-6.3986,4 0 4 4     3 0 3 4
13C_a,54506,False,36910.2018,0.0003,-5.3406,4 0 4 3     3 0 3 2
13C_a,54506,False,36910.282,0.0003,-5.2225,4 0 4 4     3 0 3 3
13C_a,54506,False,36910.3131,0.0003,-5.1073,4 0 4 5     3 0 3 4
13C_a,54506,False,36911.8958,0.0004,-6.3986,4 0 4 3     3 0 3 3
13C_a,54506,False,36942.6041,0.0003,-6.5351,4 2 3 4     3 2 2 4
13C_a,54506,False,36942.61,0.0003,-5.359,4 2 3 4     3 2 2 3
13C_a,54506,False,36943.1245,0.0003,-5.2438,4 2 3 5     3 2 2 4
13C_a,54506,False,36943.2506,0.0003,-6.5351,4 2 3 3     3 2 2 3
13C_a,54506,False,36943.2549,0.0003,-5.4771,4 2 3 3     3 2 2 2
13C_a,54506,False,36954.5635,0.0004,-5.6083,4 3 2 4     3 3 1 3
13C_a,54506,False,36954.6535,0.0004,-5.6083,4 3 1 4     3 3 0 3
13C_a,54506,False,36955.6833,0.0004,-5.4931,4 3 2 5     3 3 1 4
